subject,response,p_val,size,avg,act_as,play_against,temp
1,22,3-Feb,11,median,human decision maker,human decision maker,0.5
2,40,3-Feb,11,median,human decision maker,human decision maker,0.5
3,40,3-Feb,11,median,human decision maker,human decision maker,0.5
4,40,3-Feb,11,median,human decision maker,human decision maker,0.5
5,40,3-Feb,11,median,human decision maker,human decision maker,0.5
6,40,3-Feb,11,median,human decision maker,human decision maker,0.5
7,40,3-Feb,11,median,human decision maker,human decision maker,0.5
8,40,3-Feb,11,median,human decision maker,human decision maker,0.5
9,40,3-Feb,11,median,human decision maker,human decision maker,0.5
10,40,3-Feb,11,median,human decision maker,human decision maker,0.5
11,40,3-Feb,11,median,human decision maker,human decision maker,0.5
12,40,3-Feb,11,median,human decision maker,human decision maker,0.5
13,40,3-Feb,11,median,human decision maker,human decision maker,0.5
14,40,3-Feb,11,median,human decision maker,human decision maker,0.5
15,40,3-Feb,11,median,human decision maker,human decision maker,0.5
16,40,3-Feb,11,median,human decision maker,human decision maker,0.5
17,40,3-Feb,11,median,human decision maker,human decision maker,0.5
18,40,3-Feb,11,median,human decision maker,human decision maker,0.5
19,40,3-Feb,11,median,human decision maker,human decision maker,0.5
20,40,3-Feb,11,median,human decision maker,human decision maker,0.5
21,40,3-Feb,11,median,human decision maker,human decision maker,0.5
22,40,3-Feb,11,median,human decision maker,human decision maker,0.5
23,40,3-Feb,11,median,human decision maker,human decision maker,0.5
24,40,3-Feb,11,median,human decision maker,human decision maker,0.5
25,40,3-Feb,11,median,human decision maker,human decision maker,0.5
26,40,3-Feb,11,median,human decision maker,human decision maker,0.5
27,40,3-Feb,11,median,human decision maker,human decision maker,0.5
28,40,3-Feb,11,median,human decision maker,human decision maker,0.5
29,40,3-Feb,11,median,human decision maker,human decision maker,0.5
30,40,3-Feb,11,median,human decision maker,human decision maker,0.5
31,40,3-Feb,11,median,human decision maker,human decision maker,0.5
32,40,3-Feb,11,median,human decision maker,human decision maker,0.5
33,40,3-Feb,11,median,human decision maker,human decision maker,0.5
34,40,3-Feb,11,median,human decision maker,human decision maker,0.5
35,40,3-Feb,11,median,human decision maker,human decision maker,0.5
36,40,3-Feb,11,median,human decision maker,human decision maker,0.5
37,40,3-Feb,11,median,human decision maker,human decision maker,0.5
38,40,3-Feb,11,median,human decision maker,human decision maker,0.5
39,40,3-Feb,11,median,human decision maker,human decision maker,0.5
40,40,3-Feb,11,median,human decision maker,human decision maker,0.5
41,40,3-Feb,11,median,human decision maker,human decision maker,0.5
42,40,3-Feb,11,median,human decision maker,human decision maker,0.5
43,40,3-Feb,11,median,human decision maker,human decision maker,0.5
44,40,3-Feb,11,median,human decision maker,human decision maker,0.5
45,40,3-Feb,11,median,human decision maker,human decision maker,0.5
46,40,3-Feb,11,median,human decision maker,human decision maker,0.5
47,40,3-Feb,11,median,human decision maker,human decision maker,0.5
48,40,3-Feb,11,median,human decision maker,human decision maker,0.5
49,40,3-Feb,11,median,human decision maker,human decision maker,0.5
50,40,3-Feb,11,median,human decision maker,human decision maker,0.5
51,40,3-Feb,11,median,human decision maker,human decision maker,0.5
52,40,3-Feb,11,median,human decision maker,human decision maker,0.5
53,40,3-Feb,11,median,human decision maker,human decision maker,0.5
54,40,3-Feb,11,median,human decision maker,human decision maker,0.5
55,40,3-Feb,11,median,human decision maker,human decision maker,0.5
56,40,3-Feb,11,median,human decision maker,human decision maker,0.5
57,40,3-Feb,11,median,human decision maker,human decision maker,0.5
58,40,3-Feb,11,median,human decision maker,human decision maker,0.5
59,40,3-Feb,11,median,human decision maker,human decision maker,0.5
60,40,3-Feb,11,median,human decision maker,human decision maker,0.5
61,40,3-Feb,11,median,human decision maker,human decision maker,0.5
62,40,3-Feb,11,median,human decision maker,human decision maker,0.5
63,40,3-Feb,11,median,human decision maker,human decision maker,0.5
64,22,3-Feb,11,median,human decision maker,human decision maker,0.5
65,40,3-Feb,11,median,human decision maker,human decision maker,0.5
66,40,3-Feb,11,median,human decision maker,human decision maker,0.5
67,40,3-Feb,11,median,human decision maker,human decision maker,0.5
68,40,3-Feb,11,median,human decision maker,human decision maker,0.5
69,40,3-Feb,11,median,human decision maker,human decision maker,0.5
70,40,3-Feb,11,median,human decision maker,human decision maker,0.5
71,40,3-Feb,11,median,human decision maker,human decision maker,0.5
72,40,3-Feb,11,median,human decision maker,human decision maker,0.5
73,40,3-Feb,11,median,human decision maker,human decision maker,0.5
74,40,3-Feb,11,median,human decision maker,human decision maker,0.5
75,40,3-Feb,11,median,human decision maker,human decision maker,0.5
76,40,3-Feb,11,median,human decision maker,human decision maker,0.5
77,40,3-Feb,11,median,human decision maker,human decision maker,0.5
78,40,3-Feb,11,median,human decision maker,human decision maker,0.5
79,40,3-Feb,11,median,human decision maker,human decision maker,0.5
80,40,3-Feb,11,median,human decision maker,human decision maker,0.5
81,40,3-Feb,11,median,human decision maker,human decision maker,0.5
82,22,3-Feb,11,median,human decision maker,human decision maker,0.5
83,40,3-Feb,11,median,human decision maker,human decision maker,0.5
84,40,3-Feb,11,median,human decision maker,human decision maker,0.5
85,40,3-Feb,11,median,human decision maker,human decision maker,0.5
86,40,3-Feb,11,median,human decision maker,human decision maker,0.5
87,40,3-Feb,11,median,human decision maker,human decision maker,0.5
88,40,3-Feb,11,median,human decision maker,human decision maker,0.5
89,40,3-Feb,11,median,human decision maker,human decision maker,0.5
90,40,3-Feb,11,median,human decision maker,human decision maker,0.5
91,40,3-Feb,11,median,human decision maker,human decision maker,0.5
92,40,3-Feb,11,median,human decision maker,human decision maker,0.5
93,40,3-Feb,11,median,human decision maker,human decision maker,0.5
94,40,3-Feb,11,median,human decision maker,human decision maker,0.5
95,40,3-Feb,11,median,human decision maker,human decision maker,0.5
96,40,3-Feb,11,median,human decision maker,human decision maker,0.5
97,40,3-Feb,11,median,human decision maker,human decision maker,0.5
98,40,3-Feb,11,median,human decision maker,human decision maker,0.5
99,40,3-Feb,11,median,human decision maker,human decision maker,0.5
100,40,3-Feb,11,median,human decision maker,human decision maker,0.5
1,40,3-Feb,11,median,human decision maker,human decision maker,0.25
2,40,3-Feb,11,median,human decision maker,human decision maker,0.25
3,40,3-Feb,11,median,human decision maker,human decision maker,0.25
4,40,3-Feb,11,median,human decision maker,human decision maker,0.25
5,40,3-Feb,11,median,human decision maker,human decision maker,0.25
6,40,3-Feb,11,median,human decision maker,human decision maker,0.25
7,40,3-Feb,11,median,human decision maker,human decision maker,0.25
8,40,3-Feb,11,median,human decision maker,human decision maker,0.25
9,40,3-Feb,11,median,human decision maker,human decision maker,0.25
10,40,3-Feb,11,median,human decision maker,human decision maker,0.25
11,40,3-Feb,11,median,human decision maker,human decision maker,0.25
12,40,3-Feb,11,median,human decision maker,human decision maker,0.25
13,40,3-Feb,11,median,human decision maker,human decision maker,0.25
14,40,3-Feb,11,median,human decision maker,human decision maker,0.25
15,40,3-Feb,11,median,human decision maker,human decision maker,0.25
16,40,3-Feb,11,median,human decision maker,human decision maker,0.25
17,40,3-Feb,11,median,human decision maker,human decision maker,0.25
18,40,3-Feb,11,median,human decision maker,human decision maker,0.25
19,40,3-Feb,11,median,human decision maker,human decision maker,0.25
20,40,3-Feb,11,median,human decision maker,human decision maker,0.25
21,40,3-Feb,11,median,human decision maker,human decision maker,0.25
22,40,3-Feb,11,median,human decision maker,human decision maker,0.25
23,40,3-Feb,11,median,human decision maker,human decision maker,0.25
24,40,3-Feb,11,median,human decision maker,human decision maker,0.25
25,40,3-Feb,11,median,human decision maker,human decision maker,0.25
26,40,3-Feb,11,median,human decision maker,human decision maker,0.25
27,40,3-Feb,11,median,human decision maker,human decision maker,0.25
28,40,3-Feb,11,median,human decision maker,human decision maker,0.25
29,40,3-Feb,11,median,human decision maker,human decision maker,0.25
30,40,3-Feb,11,median,human decision maker,human decision maker,0.25
31,40,3-Feb,11,median,human decision maker,human decision maker,0.25
32,40,3-Feb,11,median,human decision maker,human decision maker,0.25
33,40,3-Feb,11,median,human decision maker,human decision maker,0.25
34,40,3-Feb,11,median,human decision maker,human decision maker,0.25
35,40,3-Feb,11,median,human decision maker,human decision maker,0.25
36,40,3-Feb,11,median,human decision maker,human decision maker,0.25
37,40,3-Feb,11,median,human decision maker,human decision maker,0.25
38,40,3-Feb,11,median,human decision maker,human decision maker,0.25
39,40,3-Feb,11,median,human decision maker,human decision maker,0.25
40,40,3-Feb,11,median,human decision maker,human decision maker,0.25
41,40,3-Feb,11,median,human decision maker,human decision maker,0.25
42,40,3-Feb,11,median,human decision maker,human decision maker,0.25
43,40,3-Feb,11,median,human decision maker,human decision maker,0.25
44,40,3-Feb,11,median,human decision maker,human decision maker,0.25
45,40,3-Feb,11,median,human decision maker,human decision maker,0.25
46,40,3-Feb,11,median,human decision maker,human decision maker,0.25
47,40,3-Feb,11,median,human decision maker,human decision maker,0.25
48,40,3-Feb,11,median,human decision maker,human decision maker,0.25
49,40,3-Feb,11,median,human decision maker,human decision maker,0.25
50,40,3-Feb,11,median,human decision maker,human decision maker,0.25
51,40,3-Feb,11,median,human decision maker,human decision maker,0.25
52,40,3-Feb,11,median,human decision maker,human decision maker,0.25
53,40,3-Feb,11,median,human decision maker,human decision maker,0.25
54,40,3-Feb,11,median,human decision maker,human decision maker,0.25
55,40,3-Feb,11,median,human decision maker,human decision maker,0.25
56,40,3-Feb,11,median,human decision maker,human decision maker,0.25
57,40,3-Feb,11,median,human decision maker,human decision maker,0.25
58,40,3-Feb,11,median,human decision maker,human decision maker,0.25
59,40,3-Feb,11,median,human decision maker,human decision maker,0.25
60,40,3-Feb,11,median,human decision maker,human decision maker,0.25
61,40,3-Feb,11,median,human decision maker,human decision maker,0.25
62,40,3-Feb,11,median,human decision maker,human decision maker,0.25
63,40,3-Feb,11,median,human decision maker,human decision maker,0.25
